car_name,reviews_count,fuel_type,engine_displacement,no_cylinder,seating_capacity,transmission_type,fuel_tank_capacity,body_type,rating,price,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp
Bajaj Qute (RE60),43,CNG,216,1,4,Manual,35,Hatchback,4,361000,16.1,4000,10.8,5500
Porsche Cayenne Coupe,6,Petrol,3996,8,4,Automatic,0,SUV,3.5,397000,850,4500,631.62,6000
Maruti Alto 800 tour,4,Petrol,796,3,5,Manual,35,Hatchback,4.5,397000,69,3500,47.33,6000
Ferrari SF90 Stradale,8,Petrol,3990,8,2,Automatic,68,Coupe,4.5,450000,800,6000,769.31,7500
Datsun redi-GO,67,Petrol,999,3,5,Automatic,28,Hatchback,3.5,496000,91,4250,67.05,5550
Maruti Alto 800,437,CNG,796,3,5,Manual,60,Hatchback,4.5,503000,60,3500,40.36,6000
Maruti Alto K10,51,Petrol,998,3,5,Automatic,27,Hatchback,4.5,583000,89,3500,65.71,5500
Maruti Eeco,264,Petrol,1196,4,7,Manual,65,Minivan,4.5,594000,85,3000,61.68,6000
Renault KWID,545,Petrol,999,3,5,Automatic,28,Hatchback,4.5,599000,91,4250,67.06,5500
Maruti S-Presso,301,Petrol,998,3,5,Automatic,27,Hatchback,4.5,599000,89,3500,65.71,5500
Hyundai Santro,532,CNG,1086,4,5,Manual,60,Hatchback,4.5,642000,85.3,4501,59.17,5500
Datsun GO,312,Petrol,1198,3,5,Automatic,35,Hatchback,4.5,651000,104,4400,76.43,6000
Maruti Celerio,89,Petrol,998,3,5,Automatic,32,Hatchback,3.5,700000,89,3500,65.71,5500
Datsun GO Plus,307,Petrol,1198,3,7,Automatic,35,MUV,4.5,700000,104,4400,76.43,6000
Lexus RX,5,Petrol,3456,6,5,Automatic,65,SUV,5,726000,335,4600,258.81,6000
Tata Tiago NRG,12,Petrol,1199,3,5,Automatic,35,Hatchback,4.5,738000,113,3300,84.48,6000
Tata Yodha Pickup,4,Diesel,2956,4,4,Manual,45,Pickup Truck,4.5,750000,250,2000,85,3000
Maruti Ignis,461,Petrol,1197,4,5,Automatic,32,Hatchback,4.5,772000,113,4200,81.8,6000
Tata Tiago,435,CNG,1199,3,5,Manual,60,Hatchback,4.5,782000,95,3500,72,6000
